Start Time,End Time,Monday,Tuesday,Wednesday,Thursday,Friday
08:30,10:30,"BIOS235|ENVS236, CHEM490, COMP201, COMP246, COMP413, MATH442, PHYS221, PHYS301, POLT202, POLT317, POLT431&POLT631","BIOS401, CHEM412, COMP201, COMP401, ENVS235, LITT206, PHYS201|CHEM211, PHYS301, POLT317, POLT431&POLT631","BUSI203, CHEM490, COMP246, ENVS310, LITT206, MATH230, PHYS222, POLT316|HIST316","COMP350, ENVS327|BIOS327, LITT338, PHYS227",ECON205|HIST211
10:30,12:30,"ARTS201, CHEM210|BIOS210, CHEM217, ENVS310, MATH201, POLT203, PSYC321, PSYC438","ARTS202, BIOS251|HIST251, CHEM218, ECON330|BUSI330, ENVS206, MATH201, POLT307, POLT334|SOCL334","BIOS201, BIOS205, COMP350, HIST215, LITT338","ARTS315|HIST335|ENVS316, CHEM213|BIOS213",ECON206
12:30,14:30,"BIOS251|HIST251, BIOS401, CHEM413, COMP401, ENVS201, HIST336, HIST337, PHYS211|COMP211, PSYC226","BIOS224, BUSI320, CHEM212, COMP204, COMP413, MATH304, PHIL205, PHYS221, POLT202","BIOS224, CHEM218, ENVS201, PHYS211|COMP211, PSYC226","BIOS205, ECON206, POLT301|SOCL302|PHIL302",HIST337
14:30,16:30,"DATA231|COMP231, ENVS235, PHYS201|CHEM211, POLT307, POLT334|SOCL334","ARTS201, BUSI203, CHEM215, CHEM413, ENVS327|BIOS327, HIST334, HIST336, MATH230, POLT301|SOCL302|PHIL302","CHEM215, ENVS305, LITT223, PHIL205, SOCL305|POLT305|HIST305","ECON330|BUSI330, ENVS305","ARTS228, LITT223"
16:30,18:30,"ARTS231, BUSI320, CHEM412, COMP204, ENVS206, LITT308, SOCL305|POLT305|HIST305","ARTS231, DATA231|COMP231, PHYS222, POLT203, PSYC321, PSYC438","BUSI316, CHEM210|BIOS210, LITT308, PHYS227","ARTS228, ECON205|HIST211, SOCL215|POLT222",POLT316|HIST316
