Roll_No,Student_Name,Course,SectionNumber,Course_Section,NumberOfSections
SIASUG2022-0081,SIASUG2022-0081,ARTS224,1,ARTS224,1
SIASUG2022-0111,SIASUG2022-0111,ARTS224,1,ARTS224,1
SIASUG2023-0058,SIASUG2023-0058,ARTS224,1,ARTS224,1
SIASUG2023-0260,SIASUG2023-0260,ARTS224,1,ARTS224,1
SIASUG2023-0270,SIASUG2023-0270,ARTS224,1,ARTS224,1
SIASUG2024-208,SIASUG2024-208,ARTS224,1,ARTS224,1
SIASUG2021-0113,SIASUG2021-0113,ARTS231,1,ARTS231,1
SIASUG2022-0043,SIASUG2022-0043,ARTS231,1,ARTS231,1
SIASUG2022-0068,SIASUG2022-0068,ARTS231,1,ARTS231,1
SIASUG2022-0096,SIASUG2022-0096,ARTS231,1,ARTS231,1
SIASUG2022-0109,SIASUG2022-0109,ARTS231,1,ARTS231,1
SIASUG2022-0111,SIASUG2022-0111,ARTS231,1,ARTS231,1
SIASUG2022-0133,SIASUG2022-0133,ARTS231,1,ARTS231,1
SIASUG2022-0173,SIASUG2022-0173,ARTS231,1,ARTS231,1
SIASUG2022-0191,SIASUG2022-0191,ARTS231,1,ARTS231,1
SIASUG2023-0078,SIASUG2023-0078,ARTS231,1,ARTS231,1
SIASUG2023-0082,SIASUG2023-0082,ARTS231,1,ARTS231,1
SIASUG2023-0093,SIASUG2023-0093,ARTS231,1,ARTS231,1
SIASUG2023-0122,SIASUG2023-0122,ARTS231,1,ARTS231,1
SIASUG2023-0130,SIASUG2023-0130,ARTS231,1,ARTS231,1
SIASUG2023-0141,SIASUG2023-0141,ARTS231,1,ARTS231,1
SIASUG2023-0150,SIASUG2023-0150,ARTS231,1,ARTS231,1
SIASUG2023-0172,SIASUG2023-0172,ARTS231,1,ARTS231,1
SIASUG2023-0220,SIASUG2023-0220,ARTS231,1,ARTS231,1
SIASUG2023-0223,SIASUG2023-0223,ARTS231,1,ARTS231,1
SIASUG2023-0274,SIASUG2023-0274,ARTS231,1,ARTS231,1
SIASUG2023-0284,SIASUG2023-0284,ARTS231,1,ARTS231,1
SIASUG2023-0295,SIASUG2023-0295,ARTS231,1,ARTS231,1
SIASUG2023-0296,SIASUG2023-0296,ARTS231,1,ARTS231,1
SIASUG2024-074,SIASUG2024-074,ARTS231,1,ARTS231,1
SIASUG2024-122,SIASUG2024-122,ARTS231,1,ARTS231,1
SIASUG2024-124,SIASUG2024-124,ARTS231,1,ARTS231,1
SIASUG2024-127,SIASUG2024-127,ARTS231,1,ARTS231,1
SIASUG2024-135,SIASUG2024-135,ARTS231,1,ARTS231,1
SIASUG2024-149,SIASUG2024-149,ARTS231,1,ARTS231,1
SIASUG2024-172,SIASUG2024-172,ARTS231,1,ARTS231,1
SIASUG2024-179,SIASUG2024-179,ARTS231,1,ARTS231,1
SIASUG2024-213,SIASUG2024-213,ARTS231,1,ARTS231,1
SIASUG2024-232,SIASUG2024-232,ARTS231,1,ARTS231,1
SIASUG2024-237,SIASUG2024-237,ARTS231,1,ARTS231,1
SIASUG2022-0060,SIASUG2022-0060,ARTS233,1,ARTS233,1
SIASUG2023-0047,SIASUG2023-0047,ARTS233,1,ARTS233,1
SIASUG2023-0096,SIASUG2023-0096,ARTS233,1,ARTS233,1
SIASUG2023-0140,SIASUG2023-0140,ARTS233,1,ARTS233,1
SIASUG2023-0177,SIASUG2023-0177,ARTS233,1,ARTS233,1
SIASUG2023-0270,SIASUG2023-0270,ARTS233,1,ARTS233,1
SIASUG2024-059,SIASUG2024-059,ARTS233,1,ARTS233,1
SIASUG2024-135,SIASUG2024-135,ARTS233,1,ARTS233,1
SIASUG2024-213,SIASUG2024-213,ARTS233,1,ARTS233,1
SIASUG2022-0133,SIASUG2022-0133,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0009,SIASUG2023-0009,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0018,SIASUG2023-0018,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0092,SIASUG2023-0092,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0097,SIASUG2023-0097,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0140,SIASUG2023-0140,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0148,SIASUG2023-0148,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0187,SIASUG2023-0187,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0220,SIASUG2023-0220,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0227,SIASUG2023-0227,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2023-0281,SIASUG2023-0281,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2024-064,SIASUG2024-064,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2024-092,SIASUG2024-092,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2024-095,SIASUG2024-095,ARTS234|PHIL234|PSYC235,1,ARTS234|PHIL234|PSYC235,1
SIASUG2022-0021,SIASUG2022-0021,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0032,SIASUG2022-0032,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0047,SIASUG2022-0047,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0079,SIASUG2022-0079,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0108,SIASUG2022-0108,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0111,SIASUG2022-0111,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0125,SIASUG2022-0125,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0127,SIASUG2022-0127,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0130,SIASUG2022-0130,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0133,SIASUG2022-0133,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0173,SIASUG2022-0173,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0183,SIASUG2022-0183,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0191,SIASUG2022-0191,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0010,SIASUG2023-0010,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0054,SIASUG2023-0054,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0062,SIASUG2023-0062,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0078,SIASUG2023-0078,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0096,SIASUG2023-0096,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0097,SIASUG2023-0097,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0130,SIASUG2023-0130,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0140,SIASUG2023-0140,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0141,SIASUG2023-0141,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0150,SIASUG2023-0150,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0227,SIASUG2023-0227,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0230,SIASUG2023-0230,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0258,SIASUG2023-0258,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0260,SIASUG2023-0260,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0281,SIASUG2023-0281,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0284,SIASUG2023-0284,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2023-0298,SIASUG2023-0298,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-007,SIASUG2024-007,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-018,SIASUG2024-018,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-019,SIASUG2024-019,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-028,SIASUG2024-028,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-075,SIASUG2024-075,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-077,SIASUG2024-077,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-127,SIASUG2024-127,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-135,SIASUG2024-135,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-139,SIASUG2024-139,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-201,SIASUG2024-201,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2024-208,SIASUG2024-208,ARTS315|HIST335|ENVS316,1,ARTS315|HIST335|ENVS316,1
SIASUG2022-0133,SIASUG2022-0133,BIOS201,1,BIOS201,1
SIASUG2023-0035,SIASUG2023-0035,BIOS201,1,BIOS201,1
SIASUG2023-0164,SIASUG2023-0164,BIOS201,1,BIOS201,1
SIASUG2023-0268,SIASUG2023-0268,BIOS201,1,BIOS201,1
SIASUG2024-001,SIASUG2024-001,BIOS201,1,BIOS201,1
SIASUG2024-002,SIASUG2024-002,BIOS201,1,BIOS201,1
SIASUG2024-008,SIASUG2024-008,BIOS201,1,BIOS201,1
SIASUG2024-016,SIASUG2024-016,BIOS201,1,BIOS201,1
SIASUG2024-032,SIASUG2024-032,BIOS201,1,BIOS201,1
SIASUG2024-033,SIASUG2024-033,BIOS201,1,BIOS201,1
SIASUG2024-034,SIASUG2024-034,BIOS201,1,BIOS201,1
SIASUG2024-037,SIASUG2024-037,BIOS201,1,BIOS201,1
SIASUG2024-039,SIASUG2024-039,BIOS201,1,BIOS201,1
SIASUG2024-046,SIASUG2024-046,BIOS201,1,BIOS201,1
SIASUG2024-054,SIASUG2024-054,BIOS201,1,BIOS201,1
SIASUG2024-057,SIASUG2024-057,BIOS201,1,BIOS201,1
SIASUG2024-058,SIASUG2024-058,BIOS201,1,BIOS201,1
SIASUG2024-062,SIASUG2024-062,BIOS201,1,BIOS201,1
SIASUG2024-066,SIASUG2024-066,BIOS201,1,BIOS201,1
SIASUG2024-070,SIASUG2024-070,BIOS201,1,BIOS201,1
SIASUG2024-071,SIASUG2024-071,BIOS201,1,BIOS201,1
SIASUG2024-080,SIASUG2024-080,BIOS201,1,BIOS201,1
SIASUG2024-081,SIASUG2024-081,BIOS201,1,BIOS201,1
SIASUG2024-091,SIASUG2024-091,BIOS201,1,BIOS201,1
SIASUG2024-109,SIASUG2024-109,BIOS201,1,BIOS201,1
SIASUG2024-116,SIASUG2024-116,BIOS201,1,BIOS201,1
SIASUG2024-119,SIASUG2024-119,BIOS201,1,BIOS201,1
SIASUG2024-121,SIASUG2024-121,BIOS201,1,BIOS201,1
SIASUG2024-124,SIASUG2024-124,BIOS201,1,BIOS201,1
SIASUG2024-136,SIASUG2024-136,BIOS201,1,BIOS201,1
SIASUG2024-138,SIASUG2024-138,BIOS201,1,BIOS201,1
SIASUG2024-140,SIASUG2024-140,BIOS201,1,BIOS201,1
SIASUG2024-143,SIASUG2024-143,BIOS201,1,BIOS201,1
SIASUG2024-144,SIASUG2024-144,BIOS201,1,BIOS201,1
SIASUG2024-164,SIASUG2024-164,BIOS201,1,BIOS201,1
SIASUG2024-176,SIASUG2024-176,BIOS201,1,BIOS201,1
SIASUG2024-182,SIASUG2024-182,BIOS201,1,BIOS201,1
SIASUG2024-200,SIASUG2024-200,BIOS201,1,BIOS201,1
SIASUG2024-214,SIASUG2024-214,BIOS201,1,BIOS201,1
SIASUG2024-221,SIASUG2024-221,BIOS201,1,BIOS201,1
SIASUG2024-226,SIASUG2024-226,BIOS201,1,BIOS201,1
SIASUG2024-245,SIASUG2024-245,BIOS201,1,BIOS201,1
SIASUG2022-0053,SIASUG2022-0053,BIOS205,1,BIOS205,1
SIASUG2022-0080,SIASUG2022-0080,BIOS205,1,BIOS205,1
SIASUG2022-0176,SIASUG2022-0176,BIOS205,1,BIOS205,1
SIASUG2022-0181,SIASUG2022-0181,BIOS205,1,BIOS205,1
SIASUG2022-0182,SIASUG2022-0182,BIOS205,1,BIOS205,1
SIASUG2023-0027,SIASUG2023-0027,BIOS205,1,BIOS205,1
SIASUG2023-0028,SIASUG2023-0028,BIOS205,1,BIOS205,1
SIASUG2023-0041,SIASUG2023-0041,BIOS205,1,BIOS205,1
SIASUG2023-0047,SIASUG2023-0047,BIOS205,1,BIOS205,1
SIASUG2023-0049,SIASUG2023-0049,BIOS205,1,BIOS205,1
SIASUG2023-0051,SIASUG2023-0051,BIOS205,1,BIOS205,1
SIASUG2023-0054,SIASUG2023-0054,BIOS205,1,BIOS205,1
SIASUG2023-0056,SIASUG2023-0056,BIOS205,1,BIOS205,1
SIASUG2023-0066,SIASUG2023-0066,BIOS205,1,BIOS205,1
SIASUG2023-0071,SIASUG2023-0071,BIOS205,1,BIOS205,1
SIASUG2023-0084,SIASUG2023-0084,BIOS205,1,BIOS205,1
SIASUG2023-0097,SIASUG2023-0097,BIOS205,1,BIOS205,1
SIASUG2023-0101,SIASUG2023-0101,BIOS205,1,BIOS205,1
SIASUG2023-0113,SIASUG2023-0113,BIOS205,1,BIOS205,1
SIASUG2023-0120,SIASUG2023-0120,BIOS205,1,BIOS205,1
SIASUG2023-0132,SIASUG2023-0132,BIOS205,1,BIOS205,1
SIASUG2023-0136,SIASUG2023-0136,BIOS205,1,BIOS205,1
SIASUG2023-0142,SIASUG2023-0142,BIOS205,1,BIOS205,1
SIASUG2023-0146,SIASUG2023-0146,BIOS205,1,BIOS205,1
SIASUG2023-0149,SIASUG2023-0149,BIOS205,1,BIOS205,1
SIASUG2023-0157,SIASUG2023-0157,BIOS205,1,BIOS205,1
SIASUG2023-0162,SIASUG2023-0162,BIOS205,1,BIOS205,1
SIASUG2023-0163,SIASUG2023-0163,BIOS205,1,BIOS205,1
SIASUG2023-0164,SIASUG2023-0164,BIOS205,1,BIOS205,1
SIASUG2023-0172,SIASUG2023-0172,BIOS205,1,BIOS205,1
SIASUG2023-0176,SIASUG2023-0176,BIOS205,1,BIOS205,1
SIASUG2023-0181,SIASUG2023-0181,BIOS205,1,BIOS205,1
SIASUG2023-0204,SIASUG2023-0204,BIOS205,1,BIOS205,1
SIASUG2023-0213,SIASUG2023-0213,BIOS205,1,BIOS205,1
SIASUG2023-0216,SIASUG2023-0216,BIOS205,1,BIOS205,1
SIASUG2023-0217,SIASUG2023-0217,BIOS205,1,BIOS205,1
SIASUG2023-0224,SIASUG2023-0224,BIOS205,1,BIOS205,1
SIASUG2023-0236,SIASUG2023-0236,BIOS205,1,BIOS205,1
SIASUG2023-0241,SIASUG2023-0241,BIOS205,1,BIOS205,1
SIASUG2023-0250,SIASUG2023-0250,BIOS205,1,BIOS205,1
SIASUG2023-0272,SIASUG2023-0272,BIOS205,1,BIOS205,1
SIASUG2023-0282,SIASUG2023-0282,BIOS205,1,BIOS205,1
SIASUG2022-0053,SIASUG2022-0053,BIOS224,1,BIOS224,1
SIASUG2022-0176,SIASUG2022-0176,BIOS224,1,BIOS224,1
SIASUG2022-0181,SIASUG2022-0181,BIOS224,1,BIOS224,1
SIASUG2022-0182,SIASUG2022-0182,BIOS224,1,BIOS224,1
SIASUG2023-0012,SIASUG2023-0012,BIOS224,1,BIOS224,1
SIASUG2023-0022,SIASUG2023-0022,BIOS224,1,BIOS224,1
SIASUG2023-0027,SIASUG2023-0027,BIOS224,1,BIOS224,1
SIASUG2023-0028,SIASUG2023-0028,BIOS224,1,BIOS224,1
SIASUG2023-0030,SIASUG2023-0030,BIOS224,1,BIOS224,1
SIASUG2023-0035,SIASUG2023-0035,BIOS224,1,BIOS224,1
SIASUG2023-0036,SIASUG2023-0036,BIOS224,1,BIOS224,1
SIASUG2023-0041,SIASUG2023-0041,BIOS224,1,BIOS224,1
SIASUG2023-0049,SIASUG2023-0049,BIOS224,1,BIOS224,1
SIASUG2023-0050,SIASUG2023-0050,BIOS224,1,BIOS224,1
SIASUG2023-0051,SIASUG2023-0051,BIOS224,1,BIOS224,1
SIASUG2023-0054,SIASUG2023-0054,BIOS224,1,BIOS224,1
SIASUG2023-0056,SIASUG2023-0056,BIOS224,1,BIOS224,1
SIASUG2023-0066,SIASUG2023-0066,BIOS224,1,BIOS224,1
SIASUG2023-0071,SIASUG2023-0071,BIOS224,1,BIOS224,1
SIASUG2023-0084,SIASUG2023-0084,BIOS224,1,BIOS224,1
SIASUG2023-0097,SIASUG2023-0097,BIOS224,1,BIOS224,1
SIASUG2023-0101,SIASUG2023-0101,BIOS224,1,BIOS224,1
SIASUG2023-0113,SIASUG2023-0113,BIOS224,1,BIOS224,1
SIASUG2023-0120,SIASUG2023-0120,BIOS224,1,BIOS224,1
SIASUG2023-0122,SIASUG2023-0122,BIOS224,1,BIOS224,1
SIASUG2023-0132,SIASUG2023-0132,BIOS224,1,BIOS224,1
SIASUG2023-0136,SIASUG2023-0136,BIOS224,1,BIOS224,1
SIASUG2023-0142,SIASUG2023-0142,BIOS224,1,BIOS224,1
SIASUG2023-0146,SIASUG2023-0146,BIOS224,1,BIOS224,1
SIASUG2023-0149,SIASUG2023-0149,BIOS224,1,BIOS224,1
SIASUG2023-0157,SIASUG2023-0157,BIOS224,1,BIOS224,1
SIASUG2023-0162,SIASUG2023-0162,BIOS224,1,BIOS224,1
SIASUG2023-0163,SIASUG2023-0163,BIOS224,1,BIOS224,1
SIASUG2023-0164,SIASUG2023-0164,BIOS224,1,BIOS224,1
SIASUG2023-0167,SIASUG2023-0167,BIOS224,1,BIOS224,1
SIASUG2023-0172,SIASUG2023-0172,BIOS224,1,BIOS224,1
SIASUG2023-0176,SIASUG2023-0176,BIOS224,1,BIOS224,1
SIASUG2023-0178,SIASUG2023-0178,BIOS224,1,BIOS224,1
SIASUG2023-0179,SIASUG2023-0179,BIOS224,1,BIOS224,1
SIASUG2023-0181,SIASUG2023-0181,BIOS224,1,BIOS224,1
SIASUG2023-0193,SIASUG2023-0193,BIOS224,1,BIOS224,1
SIASUG2023-0204,SIASUG2023-0204,BIOS224,1,BIOS224,1
SIASUG2023-0216,SIASUG2023-0216,BIOS224,1,BIOS224,1
SIASUG2023-0217,SIASUG2023-0217,BIOS224,1,BIOS224,1
SIASUG2023-0224,SIASUG2023-0224,BIOS224,1,BIOS224,1
SIASUG2023-0236,SIASUG2023-0236,BIOS224,1,BIOS224,1
SIASUG2023-0241,SIASUG2023-0241,BIOS224,1,BIOS224,1
SIASUG2023-0250,SIASUG2023-0250,BIOS224,1,BIOS224,1
SIASUG2023-0272,SIASUG2023-0272,BIOS224,1,BIOS224,1
SIASUG2023-0282,SIASUG2023-0282,BIOS224,1,BIOS224,1
SIASUG2023-0027,SIASUG2023-0027,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2023-0049,SIASUG2023-0049,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2023-0084,SIASUG2023-0084,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2023-0146,SIASUG2023-0146,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2023-0149,SIASUG2023-0149,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2023-0250,SIASUG2023-0250,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2023-0272,SIASUG2023-0272,BIOS231|CHEM231,1,BIOS231|CHEM231,1
SIASUG2022-0052,SIASUG2022-0052,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2022-0053,SIASUG2022-0053,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2022-0148,SIASUG2022-0148,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2022-0176,SIASUG2022-0176,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2022-0181,SIASUG2022-0181,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0016,SIASUG2023-0016,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0022,SIASUG2023-0022,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0030,SIASUG2023-0030,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0035,SIASUG2023-0035,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0049,SIASUG2023-0049,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0051,SIASUG2023-0051,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0066,SIASUG2023-0066,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0084,SIASUG2023-0084,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0113,SIASUG2023-0113,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0136,SIASUG2023-0136,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0149,SIASUG2023-0149,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0157,SIASUG2023-0157,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0162,SIASUG2023-0162,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0193,SIASUG2023-0193,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0204,SIASUG2023-0204,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2023-0241,SIASUG2023-0241,BIOS235|ENVS236,1,BIOS235|ENVS236,1
SIASUG2019-0110,SIASUG2019-0110,BIOS331,1,BIOS331,1
SIASUG2022-0016,SIASUG2022-0016,BIOS331,1,BIOS331,1
SIASUG2022-0023,SIASUG2022-0023,BIOS331,1,BIOS331,1
SIASUG2022-0026,SIASUG2022-0026,BIOS331,1,BIOS331,1
SIASUG2022-0049,SIASUG2022-0049,BIOS331,1,BIOS331,1
SIASUG2022-0052,SIASUG2022-0052,BIOS331,1,BIOS331,1
SIASUG2022-0053,SIASUG2022-0053,BIOS331,1,BIOS331,1
SIASUG2022-0068,SIASUG2022-0068,BIOS331,1,BIOS331,1
SIASUG2022-0075,SIASUG2022-0075,BIOS331,1,BIOS331,1
SIASUG2022-0096,SIASUG2022-0096,BIOS331,1,BIOS331,1
SIASUG2022-0148,SIASUG2022-0148,BIOS331,1,BIOS331,1
SIASUG2022-0160,SIASUG2022-0160,BIOS331,1,BIOS331,1
SIASUG2022-0173,SIASUG2022-0173,BIOS331,1,BIOS331,1
SIASUG2022-0176,SIASUG2022-0176,BIOS331,1,BIOS331,1
SIASUG2022-0186,SIASUG2022-0186,BIOS331,1,BIOS331,1
SIASUG2023-0022,SIASUG2023-0022,BIOS331,1,BIOS331,1
SIASUG2023-0030,SIASUG2023-0030,BIOS331,1,BIOS331,1
SIASUG2023-0049,SIASUG2023-0049,BIOS331,1,BIOS331,1
SIASUG2023-0056,SIASUG2023-0056,BIOS331,1,BIOS331,1
SIASUG2023-0162,SIASUG2023-0162,BIOS331,1,BIOS331,1
SIASUG2023-0213,SIASUG2023-0213,BIOS331,1,BIOS331,1
SIASUG2023-0217,SIASUG2023-0217,BIOS331,1,BIOS331,1
SIASUG2023-0224,SIASUG2023-0224,BIOS331,1,BIOS331,1
SIASUG2023-0250,SIASUG2023-0250,BIOS331,1,BIOS331,1
SIASUG2023-0272,SIASUG2023-0272,BIOS331,1,BIOS331,1
SIASUG2023-0282,SIASUG2023-0282,BIOS331,1,BIOS331,1
SIASUG2022-0023,SIASUG2022-0023,BIOS401,1,BIOS401,1
SIASUG2022-0068,SIASUG2022-0068,BIOS401,1,BIOS401,1
SIASUG2022-0075,SIASUG2022-0075,BIOS401,1,BIOS401,1
SIASUG2022-0160,SIASUG2022-0160,BIOS401,1,BIOS401,1
SIASUG2022-0173,SIASUG2022-0173,BIOS401,1,BIOS401,1
SIASUG2022-0186,SIASUG2022-0186,BIOS401,1,BIOS401,1
SIASUG2021-0181,SIASUG2021-0181,BUSI203,1,BUSI203,1
SIASUG2023-0003,SIASUG2023-0003,BUSI203,1,BUSI203,1
SIASUG2023-0008,SIASUG2023-0008,BUSI203,1,BUSI203,1
SIASUG2023-0015,SIASUG2023-0015,BUSI203,1,BUSI203,1
SIASUG2023-0022,SIASUG2023-0022,BUSI203,1,BUSI203,1
SIASUG2023-0098,SIASUG2023-0098,BUSI203,1,BUSI203,1
SIASUG2023-0099,SIASUG2023-0099,BUSI203,1,BUSI203,1
SIASUG2023-0174,SIASUG2023-0174,BUSI203,1,BUSI203,1
SIASUG2023-0191,SIASUG2023-0191,BUSI203,1,BUSI203,1
SIASUG2023-0193,SIASUG2023-0193,BUSI203,1,BUSI203,1
SIASUG2023-0202,SIASUG2023-0202,BUSI203,1,BUSI203,1
SIASUG2023-0212,SIASUG2023-0212,BUSI203,1,BUSI203,1
SIASUG2023-0216,SIASUG2023-0216,BUSI203,1,BUSI203,1
SIASUG2023-0220,SIASUG2023-0220,BUSI203,1,BUSI203,1
SIASUG2023-0245,SIASUG2023-0245,BUSI203,1,BUSI203,1
SIASUG2023-0268,SIASUG2023-0268,BUSI203,1,BUSI203,1
SIASUG2023-0277,SIASUG2023-0277,BUSI203,1,BUSI203,1
SIASUG2023-0289,SIASUG2023-0289,BUSI203,1,BUSI203,1
SIASUG2024-006,SIASUG2024-006,BUSI203,1,BUSI203,1
SIASUG2024-007,SIASUG2024-007,BUSI203,1,BUSI203,1
SIASUG2024-009,SIASUG2024-009,BUSI203,1,BUSI203,1
SIASUG2024-011,SIASUG2024-011,BUSI203,1,BUSI203,1
SIASUG2024-015,SIASUG2024-015,BUSI203,1,BUSI203,1
SIASUG2024-023,SIASUG2024-023,BUSI203,1,BUSI203,1
SIASUG2024-024,SIASUG2024-024,BUSI203,1,BUSI203,1
SIASUG2024-043,SIASUG2024-043,BUSI203,1,BUSI203,1
SIASUG2024-046,SIASUG2024-046,BUSI203,1,BUSI203,1
SIASUG2024-051,SIASUG2024-051,BUSI203,1,BUSI203,1
SIASUG2024-055,SIASUG2024-055,BUSI203,1,BUSI203,1
SIASUG2024-060,SIASUG2024-060,BUSI203,1,BUSI203,1
SIASUG2024-061,SIASUG2024-061,BUSI203,1,BUSI203,1
SIASUG2024-068,SIASUG2024-068,BUSI203,1,BUSI203,1
