0,1,2,3
Monday,10:30,12:30,COMP401
Monday,16:30,18:30,PHIL202
Tuesday,10:30,12:30,PHIL202
Tuesday,16:30,18:30,COMP401
Tuesday,18:30,20:30,COMP350
Thursday,14:30,16:30,CHEM213|BIOS213
Friday,08:30,10:30,COMP350
Friday,10:30,12:30,CHEM213|BIOS213
