0,1,2,3
Monday,10:30,12:30,COMP401
Monday,16:30,18:30,COMP246
Tuesday,10:30,12:30,COMP246
Tuesday,16:30,18:30,COMP401
Thursday,12:30,14:30,DATA231|COMP231
Friday,18:30,20:30,DATA231|COMP231
